SANCAKTEPE
IP,Room,Device
192.168.120.151,5,1
192.168.120.152,5,2
192.168.120.153,5,3
192.168.120.154,5,4
192.168.120.161,6,1
192.168.120.162,6,2
192.168.120.163,6,3
192.168.120.164,6,4
192.168.120.165,6,5
192.168.120.166,6,6
192.168.120.167,6,7
192.168.120.168,6,8
192.168.120.169,6,9
192.168.120.171,7,1
192.168.120.172,7,2
192.168.120.173,7,3
192.168.120.174,7,4
192.168.120.175,7,5
192.168.120.176,7,6
192.168.120.177,7,7
192.168.120.178,7,8
192.168.120.181,8,1
192.168.120.182,8,2
192.168.120.183,8,3
192.168.120.184,8,4
192.168.120.191,9,1
