SANCAKTEPE
IP,Room,Device
192.168.120.72,1,1
192.168.120.73,1,2
192.168.120.74,1,3
192.168.120.75,1,4
192.168.120.76,2,1
192.168.120.77,2,2
192.168.120.78,2,3
192.168.120.79,2,4
192.168.120.80,2,5
192.168.120.91,2,6
192.168.120.92,2,7
192.168.120.93,2,8
192.168.120.94,2,9
192.168.120.95,3,1
192.168.120.96,3,2
192.168.120.101,3,3
192.168.120.102,3,4
192.168.120.103,3,5
192.168.120.104,3,6
192.168.120.105,3,7
192.168.120.106,3,8
192.168.120.107,4,1
192.168.120.111,4,2
192.168.120.112,4,3
192.168.120.113,4,4
192.168.120.114,8,1
